iter	Passed	Remaining
0	171	16995
1	182	8927
2	191	6176
3	199	4785
4	206	3926
5	215	3382
6	222	2962
7	231	2662
8	239	2426
9	247	2229
10	253	2052
11	262	1921
12	270	1813
13	279	1714
14	286	1623
15	294	1543
16	302	1478
17	311	1420
18	320	1366
19	329	1317
20	338	1275
21	345	1224
22	353	1183
23	362	1147
24	370	1112
25	378	1078
26	385	1042
27	392	1008
28	400	979
29	408	954
30	417	929
31	425	904
32	432	878
33	440	854
34	447	830
35	456	810
36	461	786
37	471	768
38	479	749
39	486	730
40	494	711
41	502	693
42	510	677
43	519	661
44	528	645
45	536	629
46	544	613
47	553	599
48	563	586
49	571	571
50	580	557
51	588	543
52	597	529
53	605	516
54	613	502
55	623	489
56	632	476
57	642	465
58	650	452
59	662	441
60	674	431
61	685	420
62	694	407
63	703	395
64	711	383
65	720	370
66	727	358
67	736	346
68	743	334
69	752	322
70	759	310
71	767	298
72	775	286
73	784	275
74	792	264
75	801	252
76	809	241
77	817	230
78	825	219
79	833	208
80	841	197
81	849	186
82	857	175
83	866	165
84	873	154
85	881	143
86	888	132
87	897	122
88	905	111
89	914	101
90	923	91
91	932	81
92	942	70
93	953	60
94	963	50
95	972	40
96	981	30
97	991	20
98	1001	10
99	1011	0
